celltype,state,mark,pathway,NES,pval,padj,size
Astro,Homeostatic,H3K27ac,adherens junction organization (GO:0034332),-1.813,0.000108,0.0112,47
Astro,Homeostatic,H3K27ac,negative regulation of multicellular organismal process (GO:0051241),-1.463,0.000112,0.0114,212
Astro,Homeostatic,H3K27ac,embryonic organ development (GO:0048568),-1.731,0.000115,0.0115,65
Astro,Homeostatic,H3K27ac,skeletal system development (GO:0001501),-1.556,0.000124,0.0121,150
Astro,Homeostatic,H3K27ac,Neuroactive ligand-receptor interaction,-1.387,0.000142,0.013,326
Astro,Homeostatic,H3K27ac,negative regulation of epithelial cell proliferation (GO:0050680),-1.713,0.00014,0.013,69
Astro,Homeostatic,H3K27ac,positive regulation of metabolic process (GO:0009893),-1.607,0.000139,0.013,111
Astro,Homeostatic,H3K27ac,axon guidance (GO:0007411),-1.465,0.000155,0.014,202
Astro,Homeostatic,H3K27ac,glutamate receptor signaling pathway (GO:0007215),-1.822,0.000179,0.0158,37
Astro,Homeostatic,H3K27ac,cellular response to amyloid-beta (GO:1904646),-1.838,0.000186,0.0159,34
Astro,Homeostatic,H3K27ac,generation of neurons (GO:0048699),-1.479,0.000194,0.0159,198
Astro,Homeostatic,H3K27ac,positive regulation of biomineral tissue development (GO:0070169),-1.824,0.000186,0.0159,39
Astro,Homeostatic,H3K27ac,positive regulation of bone mineralization (GO:0030501),-1.851,0.000191,0.0159,35
Astro,Homeostatic,H3K27ac,second-messenger-mediated signaling (GO:0019932),-1.642,0.000196,0.0159,84
Astro,Homeostatic,H3K27ac,Wnt signaling pathway,-1.498,0.000203,0.0161,163
Astro,Homeostatic,H3K27ac,negative regulation of epithelial to mesenchymal transition (GO:0010719),-1.887,0.000209,0.0162,29
Astro,Homeostatic,H3K27ac,regulation of bone mineralization (GO:0030500),-1.736,0.000211,0.0162,55
Astro,Homeostatic,H3K27ac,eye development (GO:0001654),-1.721,0.000227,0.0172,58
Astro,Homeostatic,H3K27ac,positive regulation of signal transduction (GO:0009967),-1.431,0.000235,0.0175,239
Astro,Homeostatic,H3K27ac,branching morphogenesis of an epithelial tube (GO:0048754),-1.774,0.000251,0.0184,43
Astro,Homeostatic,H3K27ac,Heart Development WP1591,-1.768,0.000265,0.0191,43
Astro,Homeostatic,H3K27ac,Wnt signaling WP428,-1.561,0.000285,0.0194,114
Astro,Homeostatic,H3K27ac,brain development (GO:0007420),-1.53,0.00028,0.0194,145
Astro,Homeostatic,H3K27ac,extracellular matrix organization (GO:0030198),-1.384,0.00028,0.0194,292
Astro,Homeostatic,H3K27ac,negative regulation of sodium ion transmembrane transporter activity (GO:2000650),-1.964,0.000281,0.0194,10
Astro,Homeostatic,H3K27ac,mesenchymal cell differentiation (GO:0048762),-1.74,0.000301,0.0199,51
Astro,Homeostatic,H3K27ac,negative regulation of endothelial cell proliferation (GO:0001937),-1.8,3e-04,0.0199,34
Astro,Homeostatic,H3K27ac,MAPK signaling pathway,-1.382,0.000308,0.02,292
Astro,Homeostatic,H3K27ac,positive regulation of cell projection organization (GO:0031346),-1.558,0.000312,0.0201,114
Astro,Homeostatic,H3K27ac,regulation of BMP signaling pathway (GO:0030510),-1.663,0.000322,0.0204,73
Astro,Homeostatic,H3K27ac,response to growth factor (GO:0070848),-1.756,0.000326,0.0204,40
Astro,Homeostatic,H3K27ac,Monoamine GPCRs WP58,-1.812,0.000361,0.0223,33
Astro,Homeostatic,H3K27ac,LncRNA involvement in canonical Wnt signaling and colorectal cancer WP4258,-1.599,0.000372,0.0226,92
Astro,Homeostatic,H3K27ac,Hippo-Merlin Signaling Dysregulation WP4541,-1.548,0.00039,0.0234,119
Astro,Homeostatic,H3K27ac,polarized epithelial cell differentiation (GO:0030859),2.31,0.000404,0.0237,14
Astro,Homeostatic,H3K27ac,positive regulation of ERK1 and ERK2 cascade (GO:0070374),-1.515,0.000403,0.0237,151
Astro,Homeostatic,H3K27ac,epithelial to mesenchymal transition (GO:0001837),-1.766,0.000416,0.0241,46
Astro,Homeostatic,H3K27ac,positive regulation of epithelial cell proliferation (GO:0050679),-1.533,0.00044,0.0252,118
Astro,Homeostatic,H3K27ac,Calcium Regulation in the Cardiac Cell WP536,-1.498,0.000481,0.0256,149
Astro,Homeostatic,H3K27ac,Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706,-1.473,0.000458,0.0256,152
Astro,Homeostatic,H3K27ac,calcium ion transport (GO:0006816),-1.568,0.000481,0.0256,110
Astro,Homeostatic,H3K27ac,metanephros development (GO:0001656),-1.854,0.000479,0.0256,26
Astro,Homeostatic,H3K27ac,ncRNAs involved in Wnt signaling in hepatocellular carcinoma WP4336,-1.617,0.000463,0.0256,85
Astro,Homeostatic,H3K27ac,regulation of MAPK cascade (GO:0043408),-1.478,0.000472,0.0256,160
Astro,Homeostatic,H3K27ac,Wnt signaling pathway and pluripotency WP399,-1.546,0.000518,0.0267,101
Astro,Homeostatic,H3K27ac,gland development (GO:0048732),-1.629,0.00051,0.0267,71
Astro,Homeostatic,H3K27ac,ventricular septum development (GO:0003281),-1.79,0.000517,0.0267,38
Astro,Homeostatic,H3K27ac,regulation of cartilage development (GO:0061035),-1.872,6e-04,0.0303,18
Astro,Homeostatic,H3K27ac,visual system development (GO:0150063),-1.715,6e-04,0.0303,41
Astro,Homeostatic,H3K27ac,negative regulation of sodium ion transmembrane transport (GO:1902306),-1.921,0.000607,0.0303,10
Astro,Homeostatic,H3K27ac,Gastric cancer,-1.45,0.000673,0.0332,147
Astro,Homeostatic,H3K27ac,regulation of smooth muscle cell proliferation (GO:0048660),-1.716,0.00068,0.0332,44
Astro,Homeostatic,H3K27ac,calcium ion import (GO:0070509),-1.826,0.000705,0.0341,27
Astro,Homeostatic,H3K27ac,regulation of epithelial to mesenchymal transition (GO:0010717),-1.621,0.000721,0.0345,75
Astro,Homeostatic,H3K27ac,regulation of angiogenesis (GO:0045765),-1.426,0.000756,0.0358,192
Astro,Homeostatic,H3K27ac,"GPCRs, Class C Metabotropic glutamate, pheromone WP501",-1.894,0.000773,0.0362,15
Astro,Homeostatic,H3K27ac,ventricular septum morphogenesis (GO:0060412),-1.796,0.000779,0.0362,28
Astro,Homeostatic,H3K27ac,cation transport (GO:0006812),-1.44,0.000838,0.0385,171
Astro,Homeostatic,H3K27ac,Hippo signaling pathway,-1.458,0.000847,0.0386,160
Astro,Homeostatic,H3K27ac,Mucin type O-glycan biosynthesis,-1.768,0.000865,0.039,35
Astro,Homeostatic,H3K27ac,Nicotine addiction,-1.696,0.000879,0.0393,40
Astro,Homeostatic,H3K27ac,negative regulation of smooth muscle cell migration (GO:0014912),-1.861,0.000893,0.0395,14
Astro,Homeostatic,H3K27ac,regulation of NMDA receptor activity (GO:2000310),-1.748,0.000914,0.0401,32
Astro,Homeostatic,H3K27ac,ureteric bud development (GO:0001657),-1.834,0.000986,0.0428,19
Astro,Homeostatic,H3K27ac,Dopaminergic Neurogenesis WP2855,-1.801,0.00101,0.0431,30
Astro,Homeostatic,H3K27ac,negative regulation of Wnt signaling pathway (GO:0030178),-1.428,0.001,0.0431,185
Astro,Homeostatic,H3K27ac,PKC-gamma calcium signaling pathway in ataxia WP4760,-1.782,0.00105,0.0443,22
Astro,Homeostatic,H3K27ac,Arrhythmogenic right ventricular cardiomyopathy,-1.594,0.00108,0.0452,77
Astro,Homeostatic,H3K27ac,Genes controlling nephrogenesis WP4823,-1.681,0.00111,0.0462,40
Astro,Homeostatic,H3K27ac,Primary bile acid biosynthesis,-1.864,0.00112,0.0462,16
Astro,Homeostatic,H3K27ac,mesonephric tubule development (GO:0072164),-1.815,0.00114,0.0463,17
Astro,Homeostatic,H3K27ac,positive regulation of neuron projection development (GO:0010976),-1.558,0.00137,0.0555,85
Astro,Homeostatic,H3K27ac,positive regulation of BMP signaling pathway (GO:0030513),-1.775,0.0014,0.0563,25
Astro,Homeostatic,H3K27ac,positive regulation of fat cell differentiation (GO:0045600),-1.647,0.00151,0.0591,51
Astro,Homeostatic,H3K27ac,regulation of axonogenesis (GO:0050770),-1.647,0.00151,0.0591,51
Astro,Homeostatic,H3K27ac,regulation of cation channel activity (GO:2001257),-1.558,0.0015,0.0591,86
Astro,Homeostatic,H3K27ac,regulation of DNA biosynthetic process (GO:2000278),-1.77,0.00157,0.0608,27
Astro,Homeostatic,H3K27ac,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100),-1.557,0.0017,0.0654,89
Astro,Homeostatic,H3K27ac,negative regulation of ion transport (GO:0043271),-1.739,0.00177,0.067,23
Astro,Homeostatic,H3K27ac,regulation of osteoblast differentiation (GO:0045667),-1.563,0.00176,0.067,79
Astro,Homeostatic,H3K27ac,ECM-receptor interaction,-1.544,0.0018,0.0671,88
Astro,Homeostatic,H3K27ac,collagen fibril organization (GO:0030199),-1.542,0.0018,0.0671,88
Astro,Homeostatic,H3K27ac,negative regulation of epithelial cell migration (GO:0010633),-1.677,0.00184,0.0679,35
Astro,Homeostatic,H3K27ac,enzyme linked receptor protein signaling pathway (GO:0007167),-1.45,0.0019,0.0686,138
Astro,Homeostatic,H3K27ac,glycosaminoglycan biosynthetic process (GO:0006024),-1.528,0.0019,0.0686,95
Astro,Homeostatic,H3K27ac,nervous system development (GO:0007399),-1.29,0.0019,0.0686,420
Astro,Homeostatic,H3K27ac,Maturity onset diabetes of the young,-1.75,0.00194,0.0691,26
Astro,Homeostatic,H3K27ac,neural tube development (GO:0021915),-1.807,0.00194,0.0691,16
Astro,Homeostatic,H3K27ac,Differentiation of white and brown adipocyte WP2895,-1.754,0.00198,0.0696,24
Astro,Homeostatic,H3K27ac,Salivary secretion,-1.523,0.0021,0.0696,87
Astro,Homeostatic,H3K27ac,cytoplasmic translational initiation (GO:0002183),1.948,0.00199,0.0696,18
Astro,Homeostatic,H3K27ac,negative regulation of cholesterol storage (GO:0010887),-1.838,0.00208,0.0696,10
Astro,Homeostatic,H3K27ac,pathway-restricted SMAD protein phosphorylation (GO:0060389),-1.808,0.00212,0.0696,13
Astro,Homeostatic,H3K27ac,positive regulation of cysteine-type endopeptidase activity (GO:2001056),-1.616,0.00211,0.0696,58
Astro,Homeostatic,H3K27ac,positive regulation of ion transport (GO:0043270),-1.645,0.00212,0.0696,46
Astro,Homeostatic,H3K27ac,proteoglycan biosynthetic process (GO:0030166),-1.73,0.00205,0.0696,31
Astro,Homeostatic,H3K27ac,regulation of actin filament polymerization (GO:0030833),-1.569,0.00201,0.0696,67
Astro,Homeostatic,H3K27ac,regulation of potassium ion transmembrane transporter activity (GO:1901016),-1.739,0.00208,0.0696,25
Astro,Homeostatic,H3K27ac,sympathetic nervous system development (GO:0048485),-1.784,0.00205,0.0696,16
Astro,Homeostatic,H3K27ac,G Protein Signaling Pathways WP35,-1.518,0.0023,0.0697,93
Astro,Homeostatic,H3K27ac,Rett syndrome causing genes WP4312,-1.626,0.00222,0.0697,47
Astro,Homeostatic,H3K27ac,Splicing factor NOVA regulated synaptic proteins WP4148,-1.662,0.00223,0.0697,42
Astro,Homeostatic,H3K27ac,external encapsulating structure organization (GO:0045229),-1.381,0.0023,0.0697,214
Astro,Homeostatic,H3K27ac,phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200),-1.557,0.00231,0.0697,73
Astro,Homeostatic,H3K27ac,primary neural tube formation (GO:0014020),-1.743,0.00215,0.0697,29
Astro,Homeostatic,H3K27ac,regulation of canonical Wnt signaling pathway (GO:0060828),-1.362,0.0022,0.0697,246
Astro,Homeostatic,H3K27ac,regulation of epithelial cell proliferation (GO:0050678),-1.529,0.0022,0.0697,92
Astro,Homeostatic,H3K27ac,regulation of potassium ion transport (GO:0043266),-1.718,0.00226,0.0697,31
Astro,Homeostatic,H3K27ac,response to peptide (GO:1901652),-1.704,0.0022,0.0697,38
Astro,Homeostatic,H3K27ac,sprouting angiogenesis (GO:0002040),-1.625,0.00232,0.0697,51
Astro,Homeostatic,H3K27ac,thymus development (GO:0048538),-1.785,0.00231,0.0697,14
Astro,Homeostatic,H3K27ac,tube closure (GO:0060606),-1.746,0.00219,0.0697,30
Astro,Homeostatic,H3K27ac,positive regulation of calcium ion import (GO:0090280),-1.812,0.00239,0.0709,11
Astro,Homeostatic,H3K27ac,proteoglycan metabolic process (GO:0006029),-1.735,0.00239,0.0709,25
Astro,Homeostatic,H3K27ac,positive regulation of cartilage development (GO:0061036),-1.769,0.00243,0.0716,18
Astro,Homeostatic,H3K27ac,"GPCRs, Class A Rhodopsin-like WP455",-1.372,0.0026,0.0731,210
Astro,Homeostatic,H3K27ac,TGF-beta signaling pathway,-1.515,0.0026,0.0731,92
Astro,Homeostatic,H3K27ac,adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188),-1.413,0.0026,0.0731,162
Astro,Homeostatic,H3K27ac,epithelium development (GO:0060429),-1.47,0.0026,0.0731,117
Astro,Homeostatic,H3K27ac,extracellular structure organization (GO:0043062),-1.379,0.0026,0.0731,213
Astro,Homeostatic,H3K27ac,lipid translocation (GO:0034204),-1.729,0.0025,0.0731,23
Astro,Homeostatic,H3K27ac,mesenchymal to epithelial transition (GO:0060231),-1.817,0.00254,0.0731,10
Astro,Homeostatic,H3K27ac,metal ion transport (GO:0030001),-1.532,0.0026,0.0731,83
Astro,Homeostatic,H3K27ac,organic hydroxy compound biosynthetic process (GO:1901617),-1.613,0.00262,0.0732,49
Astro,Homeostatic,H3K27ac,heart trabecula morphogenesis (GO:0061384),-1.729,0.00265,0.0736,19
Astro,Homeostatic,H3K27ac,phospholipid translocation (GO:0045332),-1.706,0.00268,0.0739,29
Astro,Homeostatic,H3K27ac,blood vessel morphogenesis (GO:0048514),-1.595,0.00282,0.0747,56
Astro,Homeostatic,H3K27ac,central nervous system development (GO:0007417),-1.335,0.0028,0.0747,259
Astro,Homeostatic,H3K27ac,cytosolic calcium ion transport (GO:0060401),-1.695,0.00279,0.0747,27
Astro,Homeostatic,H3K27ac,intestinal absorption (GO:0050892),-1.778,0.00275,0.0747,14
Astro,Homeostatic,H3K27ac,negative regulation of ion transmembrane transporter activity (GO:0032413),-1.726,0.00274,0.0747,20
Astro,Homeostatic,H3K27ac,positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),-1.54,0.00281,0.0747,75
Astro,Homeostatic,H3K27ac,"positive regulation of synaptic transmission, glutamatergic (GO:0051968)",-1.733,0.00277,0.0747,18
Astro,Homeostatic,H3K27ac,Vitamin D Receptor Pathway WP2877,-1.409,0.0029,0.0758,161
Astro,Homeostatic,H3K27ac,canonical Wnt signaling pathway (GO:0060070),-1.542,0.00291,0.0758,68
Astro,Homeostatic,H3K27ac,female gonad development (GO:0008585),-1.764,0.00289,0.0758,21
Astro,Homeostatic,H3K27ac,"regulation of synaptic transmission, glutamatergic (GO:0051966)",-1.622,0.00293,0.0759,46
Astro,Homeostatic,H3K27ac,axonogenesis (GO:0007409),-1.344,0.003,0.0773,239
Astro,Homeostatic,H3K27ac,dopaminergic neuron differentiation (GO:0071542),-1.717,0.00306,0.0784,20
Astro,Homeostatic,H3K27ac,membrane depolarization (GO:0051899),-1.692,0.00308,0.0784,31
Astro,Homeostatic,H3K27ac,ureteric bud morphogenesis (GO:0060675),-1.727,0.00309,0.0784,18
Astro,Homeostatic,H3K27ac,Inflammatory bowel disease,-1.582,0.00312,0.0786,59
Astro,Homeostatic,H3K27ac,negative regulation of endothelial cell migration (GO:0010596),-1.635,0.00326,0.0817,38
Astro,Homeostatic,H3K27ac,negative regulation of cell differentiation (GO:0045596),-1.387,0.0033,0.0824,187
Astro,Homeostatic,H3K27ac,positive regulation of cell-cell adhesion (GO:0022409),-1.621,0.00334,0.0829,43
Astro,Homeostatic,H3K27ac,autonomic nervous system development (GO:0048483),-1.716,0.00336,0.083,21
Astro,Homeostatic,H3K27ac,positive regulation of developmental process (GO:0051094),-1.401,0.0034,0.0835,164
Astro,Homeostatic,H3K27ac,Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds WP3664,-1.738,0.00343,0.0839,17
Astro,Homeostatic,H3K27ac,metanephric mesenchyme development (GO:0072075),-1.789,0.00352,0.0857,11
Astro,Homeostatic,H3K27ac,positive regulation of interleukin-1 beta production (GO:0032731),-1.586,0.00363,0.0878,49
Astro,Homeostatic,H3K27ac,Extracellular vesicles in the crosstalk of cardiac cells WP4300,-1.708,0.00371,0.0893,19
Astro,Homeostatic,H3K27ac,artery morphogenesis (GO:0048844),-1.681,0.0038,0.091,30
Astro,Homeostatic,H3K27ac,positive regulation of cell junction assembly (GO:1901890),-1.567,0.00382,0.091,57
Astro,Homeostatic,H3K27ac,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193),-1.561,0.00392,0.092,58
Astro,Homeostatic,H3K27ac,calcium-mediated signaling (GO:0019722),-1.477,0.0039,0.092,97
Astro,Homeostatic,H3K27ac,chondrocyte differentiation (GO:0002062),-1.675,0.0039,0.092,31
Astro,Homeostatic,H3K27ac,inflammatory response (GO:0006954),-1.354,0.004,0.0934,211
Astro,Homeostatic,H3K27ac,Circadian entrainment,-1.491,0.0041,0.0948,95
Astro,Homeostatic,H3K27ac,calcium ion transmembrane transport (GO:0070588),-1.496,0.0041,0.0948,86
Astro,Homeostatic,H3K27ac,response to retinoic acid (GO:0032526),-1.559,0.00412,0.0948,59
Astro,Homeostatic,H3K27ac,regulation of nucleocytoplasmic transport (GO:0046822),-1.743,0.00423,0.0967,13
Astro,Homeostatic,H3K27ac,negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037),-1.737,0.0043,0.0974,14
Astro,Homeostatic,H3K27ac,regulation of gastrulation (GO:0010470),-1.734,0.0043,0.0974,14
Astro,Homeostatic,H3K27ac,BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation WP3876,-1.74,0.00434,0.0975,13
Astro,Homeostatic,H3K27ac,cardiac ventricle morphogenesis (GO:0003208),-1.598,0.00434,0.0975,44
Astro,Homeostatic,H3K27ac,PI3K-Akt signaling pathway,-1.283,0.0044,0.0979,341
Astro,Homeostatic,H3K27ac,cell junction assembly (GO:0034329),-1.489,0.0044,0.0979,91
Astro,Homeostatic,H3K27ac,cardiac epithelial to mesenchymal transition (GO:0060317),-1.681,0.00443,0.0981,20
Astro,Homeostatic,H3K27ac,Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4) WP2817,-1.66,0.00451,0.0989,31
Astro,Homeostatic,H3K27ac,bile acid biosynthetic process (GO:0006699),-1.663,0.00456,0.0989,26
Astro,Homeostatic,H3K27ac,cellular response to BMP stimulus (GO:0071773),-1.516,0.00462,0.0989,69
Astro,Homeostatic,H3K27ac,central nervous system neuron differentiation (GO:0021953),-1.647,0.0046,0.0989,34
Astro,Homeostatic,H3K27ac,limb morphogenesis (GO:0035108),-1.688,0.0046,0.0989,22
Astro,Homeostatic,H3K27ac,positive regulation of endothelial cell proliferation (GO:0001938),-1.505,0.00461,0.0989,73
Astro,Homeostatic,H3K27ac,regulation of amyloid-beta formation (GO:1902003),-1.651,0.0046,0.0989,33
Astro,Homeostatic,H3K27me3,axon guidance (GO:0007411),-1.81,2.67e-09,0,196
Astro,Homeostatic,H3K27me3,axonogenesis (GO:0007409),-1.661,2.12e-07,5e-04,232
Astro,Homeostatic,H3K27me3,regulation of cell migration (GO:0030334),-1.525,4.05e-07,6e-04,377
Astro,Homeostatic,H3K27me3,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),-1.733,6.44e-07,7e-04,163
Astro,Homeostatic,H3K27me3,modulation of chemical synaptic transmission (GO:0050804),-1.843,7.83e-07,7e-04,107
Astro,Homeostatic,H3K27me3,negative chemotaxis (GO:0050919),-2.118,1.22e-06,9e-04,32
Astro,Homeostatic,H3K27me3,Axon guidance,-1.668,2.63e-06,0.0017,169
Astro,Homeostatic,H3K27me3,Epithelial Mesenchymal Transition,-1.639,2.98e-06,0.0017,192
Astro,Homeostatic,H3K27me3,UV Response Dn,-1.723,3.98e-06,0.0019,137
Astro,Homeostatic,H3K27me3,adherens junction organization (GO:0034332),-1.995,4.2e-06,0.0019,46
Astro,Homeostatic,H3K27me3,anterograde trans-synaptic signaling (GO:0098916),-1.556,9.8e-06,0.0041,232
Astro,Homeostatic,H3K27me3,negative regulation of cell differentiation (GO:0045596),-1.621,1.26e-05,0.0048,172
Astro,Homeostatic,H3K27me3,neuron differentiation (GO:0030182),-1.611,1.91e-05,0.0067,165
Astro,Homeostatic,H3K27me3,Wnt signaling pathway,-1.645,2.11e-05,0.0069,153
Astro,Homeostatic,H3K27me3,Differentiation Pathway WP2848,-1.93,2.36e-05,0.0069,47
Astro,Homeostatic,H3K27me3,chemical synaptic transmission (GO:0007268),-1.489,2.42e-05,0.0069,288
Astro,Homeostatic,H3K27me3,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339),-1.998,3.33e-05,0.0085,31
Astro,Homeostatic,H3K27me3,ventricular septum morphogenesis (GO:0060412),-2.011,3.38e-05,0.0085,28
Astro,Homeostatic,H3K27me3,regulation of cellular response to growth factor stimulus (GO:0090287),-2.005,5.54e-05,0.0133,17
Astro,Homeostatic,H3K27me3,regulation of hydrolase activity (GO:0051336),-1.74,0.000147,0.0333,70
Astro,Homeostatic,H3K27me3,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),-1.744,0.000164,0.0356,58
Astro,Homeostatic,H3K27me3,kidney development (GO:0001822),-1.735,0.000175,0.0361,66
Astro,Homeostatic,H3K27me3,Neuroactive ligand-receptor interaction,-1.409,0.000205,0.0389,330
Astro,Homeostatic,H3K27me3,lamellipodium organization (GO:0097581),-1.89,0.000201,0.0389,27
Astro,Homeostatic,H3K27me3,negative regulation of Wnt signaling pathway (GO:0030178),-1.518,0.000221,0.0403,171
Astro,Homeostatic,H3K27me3,positive regulation of cell projection organization (GO:0031346),-1.605,0.000263,0.0461,108
Astro,Homeostatic,H3K27me3,Hypoxia,-1.49,0.00029,0.0488,181
Astro,Homeostatic,H3K27me3,nervous system development (GO:0007399),-1.355,0.000303,0.0493,419
Astro,Homeostatic,H3K27me3,hemopoiesis (GO:0030097),-1.648,0.000379,0.0584,89
Astro,Homeostatic,H3K27me3,negative regulation of chemotaxis (GO:0050922),-1.813,0.000397,0.0584,32
Astro,Homeostatic,H3K27me3,regulation of membrane repolarization (GO:0060306),-1.896,0.000398,0.0584,13
Astro,Homeostatic,H3K27me3,positive regulation of neuron projection development (GO:0010976),-1.632,0.000418,0.0594,82
Astro,Homeostatic,H3K27me3,central nervous system development (GO:0007417),-1.429,0.000463,0.0619,249
Astro,Homeostatic,H3K27me3,positive regulation of signal transduction (GO:0009967),-1.448,0.000454,0.0619,226
Astro,Homeostatic,H3K27me3,axon extension (GO:0048675),-1.847,0.000523,0.0674,23
Astro,Homeostatic,H3K27me3,phosphatidylinositol-mediated signaling (GO:0048015),-1.664,0.000575,0.0674,65
